output_idx,MAE,RMSE,R2
0,0.0025061837668330527,0.004322580672878691,0.8840738856208846
1,0.00411643948680725,0.007597754557922815,0.9410085657536329
2,0.007380421731084712,0.011438858325180887,0.9733014175266431
3,0.014777981750789218,0.019875912840993017,0.9862422060326753
4,0.023084261341333557,0.030156257464047227,0.9936160151285054
5,0.03393324013486713,0.04481072210056039,0.996338446978751
6,0.05579035325040343,0.07058345085366485,0.9952009645539565
7,0.07058334539385432,0.09138845799090729,0.9944319599448449
8,0.07607169666969874,0.10169108733700821,0.9910751001686174
9,0.10203503890492632,0.13377821319020852,0.9853865770766541
10,0.12590774391672244,0.1630410056706398,0.9789640987566582
11,0.14295188209061727,0.1833540597176527,0.9732415386367932
12,0.1531300085135118,0.19460209908025047,0.9661921150379437
13,0.16447359862251074,0.2087501869428318,0.9569698075913889
14,0.18208481665441137,0.23193152812932763,0.9301561758129546
15,0.21710948292153867,0.28519500058049524,0.8585659216916589
16,0.27863329172275714,0.4032052131467235,0.6994531664776756
17,0.4331054404527497,0.7679480590732268,0.39107279193152794
18,0.7511659951033952,1.378188712373462,0.183929931712736
19,1.0662731197298116,1.9730996007619677,0.12384172954160366
20,1.1838884129386096,2.2154676147691053,0.14172116696243164
21,1.2720958997379421,2.407319170253975,0.22016980568767316
22,1.4936795173802022,2.7373415024947456,0.18750354136712363
23,1.7194489396027397,3.0838912777763423,0.12925322666049097
24,1.9285184489343938,3.345538717519059,0.1759333385084453
25,2.080413151150982,3.6264462388461727,0.26634112392554216
26,2.2591481424394657,3.883815385823396,0.31353564915146065
27,2.4653257975054257,4.221219034364434,0.34486912338813375
28,2.622533038569448,4.664780763835303,0.3806808800798855
29,2.912044796436769,5.202392321744483,0.4355884401115109
30,3.267100453641732,5.875778693539705,0.5115033737676399
31,3.6258870675870996,6.571292416927963,0.5318784312424664
32,4.0228846196552395,7.324125916090742,0.5612637022144322
33,4.429408617190123,8.098163504585992,0.5658223777666962
34,4.820983671244225,8.837019479166576,0.5774322607559006
35,5.212630519267124,9.551079724763653,0.5612702843729833
36,5.561381235348172,10.152327380907257,0.5620268515585577
37,5.913458510006987,10.660380375030021,0.5313781574603152
38,6.205660844272117,10.967357561557188,0.4850040052714026
39,6.345346162432054,11.01014475781191,0.45930139531394537
40,6.438285240720885,10.898415618092779,0.4373706205314553
41,6.455098749790117,10.690176084381525,0.42023331799952307
42,6.5161136263208626,10.499721193348554,0.3885870864520477
43,6.465195040897559,10.218933841856755,0.3808388932221051
44,6.461324847797472,9.919099329944407,0.3718369928108593
45,6.401153643258435,9.622124393763466,0.36607455670117667
46,6.202226299610529,9.195370624792853,0.35084114612330414
47,5.89990817550483,8.606345165501542,0.3394109153415786
48,5.521886395382481,7.961799524336656,0.3280265932459017
49,5.109963536176218,7.310659891495921,0.3224836846979942
50,4.708790426228155,6.711754139162136,0.31532543797871115
51,4.361522818621411,6.195513678513874,0.31139600578854587
52,4.011849619583608,5.741276683118656,0.32400007271143094
53,3.757318947314346,5.403976584275636,0.3218254641475928
54,3.5559371188150575,5.169998726835215,0.31463260665736154
55,3.4152735751971157,5.030049921276702,0.3087269254984628
56,3.358680175957201,4.994758127879807,0.3049794880188538
57,3.4579164400302473,5.125520099498452,0.2772302758073406
58,3.46508385565172,5.25042978884421,0.3547975162776155
59,4.197719564895237,6.217529895105812,0.5067935698034273
60,0.00010269164132330059,0.00010403332641706509,-inf
61,0.00014570032985296733,0.00014901000391490238,-inf
62,0.00010270555796445791,0.00010523569460799005,-inf
63,0.0003268800089833528,0.0003318091763548821,-inf
64,0.0007489182425962576,0.0007669579459685816,-inf
65,0.0005048853068552775,0.0005173978798143074,-inf
66,0.0017614452408857267,0.0018141552113359056,-inf
67,0.0011633125696628723,0.001193153117043954,-inf
68,0.0016293425357507437,0.0016688723641745925,-inf
69,0.007055023768347384,0.007157792972694012,-inf
70,0.003085267621995095,0.0031633208519224504,-inf
71,0.006143480255277649,0.006253972185294876,-inf
72,0.0036787350677063373,0.0037830852146081297,-20113225.523542054
73,0.015514787513522263,0.015657334308149532,-57661692.85735198
74,0.024176747182555882,0.024680883362519484,-4874783.522406513
75,0.0174987425172403,0.018650620794365243,-149047.5266336352
76,0.007554736332502108,0.009594520822924793,-3080.214932367137
77,0.0047691652119791345,0.007082681158753571,-52.83237719010355
78,0.008687374673757195,0.013117845287376846,-14.984683137770267
79,0.04246144122476594,0.050128513826629785,-134.04409433283027
80,0.02594305249967094,0.058608083812598466,-0.6077640227643131
81,0.06369881524975023,0.13666179192028016,-2.3268914787624064
82,0.14313554654903385,0.29520173676350875,-3.049322878754531
83,0.25786794428286175,0.5208708766388827,-3.478192853565394
84,0.4864976035963052,0.8926168959035315,-9.35726655365085
85,0.7165940951323565,1.3053395115586621,-3.8455354149816343
86,0.9260522821674698,1.7475400932121896,-3.5229619439525615
87,1.2030546070244725,2.278462922555784,-4.60346685271884
88,1.4628878725472159,2.818574511357914,-1.6125138059546416
89,1.7926200898660796,3.512487221461022,-1.2687650423258348
90,2.371091345070686,4.440128053468915,-1.3104713391360805
91,2.807234088131349,5.357949179859735,-0.6216009845211203
92,3.235788462526908,6.341449612673485,0.025083152481654897
93,3.94744592437371,7.657018570464291,0.11903991386340573
94,4.7099410442353316,9.11703400598219,0.06675873156539118
95,5.522708475859427,10.66925042517868,-0.2652650472036926
96,6.370426532695606,12.292277311668824,0.18608599617861152
97,7.3853634083871675,14.08742979482782,0.25342115278628086
98,8.33556714025889,15.820158445738707,0.25884144692228134
99,9.465297299396257,17.567359549839214,0.1946933122945638
100,10.420110242457804,18.814907881781593,0.19121410310915407
101,11.345570401690347,19.921260613033596,0.14094108469568534
102,12.271516212638462,20.81329215018158,0.16667474811035934
103,13.065906431615497,21.478923968527173,0.1445954735377113
104,13.759117851985982,21.943106644522818,0.07938491487252977
105,14.046854870202617,21.947289137770085,0.15045015622191907
106,14.24941908482598,21.71608851358108,0.16732142478895903
107,14.029425952821887,21.00877709987208,0.1759719732275146
108,13.593462170507834,20.010122711176155,0.16201480506061153
109,12.924945088039308,18.771587543283932,0.17178401465979487
110,12.16006495994977,17.48977461058387,0.1933129227710322
111,11.5643541058652,16.427062381763704,0.18443650780181878
112,10.952396942372246,15.456348323891405,0.21317755411700803
113,10.310209936634868,14.529248369392747,0.24194254071437726
114,9.823150475468994,13.780937568959983,0.2334293611500918
115,9.033600610005747,12.789431333216434,0.2433049390550168
116,8.234151043977612,11.799547845059998,0.23457050432463933
117,7.3885004429743475,10.63346227813052,0.2585041234803734
118,6.814306595765547,9.835714114273495,0.2929596808205569
119,6.488339125798632,9.311715150870898,0.29851976011509046
120,18.64284909648926,31.278624301527923,0.9727825126844364
121,5.631634524718763,7.485554850165315,0.916516860182535
122,3.1992034265635696,5.326511104215836,-inf
123,39.28013334000783,79.28304187672354,-940.9859662301375
124,10.12029855914996,19.463598848235456,0.9501001817651199
125,12.761517389113658,24.06157610533087,0.935551585603526
126,6.188249131720176,10.688506966805305,0.9434217210242273
127,5.703691040704406,10.976026175676713,0.8422173731465338
